"","tvalue_hemi","coef_hemi","pValue_hemi"
"F1_2",-19.2314574238132,-18.9537843112674,1.40683971087482e-73
"f1_2",24.9097039150925,18.6925571477069,3.02862574963153e-114
"F2_1",20.0154608912578,12.4596911649793,7.02632616942564e-79
"f2_2",13.1629281618592,7.71386683843205,1.8544780215873e-37
"F3t",30.2155121100164,14.2593379366436,6.71430159826241e-156
"F2O2",-5.01525222567014,-2.14985897547089,5.9518930482427e-07
"F3O1",25.5485539574921,12.7630208975162,3.84605529084019e-119
"F3O2",20.7072393195258,12.2081720848043,1.22082172667474e-83
"prec1",20.196217643498,12.9518692059293,4.21059912554139e-80
"prec4",-2.2734707112483,-1.11868787572927,0.0231438885179826
"SMG7",-30.9522880980881,-17.5456184263832,8.18619193082028e-162
"AG1",23.4209876999482,11.1310307762369,4.01687963423151e-103
"AG2",15.1601391618763,8.0553804909963,2.7045551288574e-48
"P2",9.30120916859067,5.5143298236819,4.95233877847861e-20
"ips2",2.99296024792908,1.821331993125,0.00280970170260079
"ips3",10.2100836060596,7.01889601225475,1.10843041344882e-23
"INSa2",-7.85709117210045,-6.33574726336989,7.61670920814255e-15
"INSa3",10.0747883536341,8.48699777020145,4.04008571824067e-23
"INSa4",5.29845852868814,4.12114210854904,1.34855258781608e-07
"T1_4",7.79175821657201,5.58176996145847,1.25300736728815e-14
"STS1",20.1700780107818,13.9105368642246,6.21018333753535e-80
"STS2",16.0875908270159,11.3128275213111,1.05513257482157e-53
"STS3",5.93441127244045,4.71608323158609,3.68416134205048e-09
"STS4",3.10452432615096,2.15129434138432,0.00194282742909686
"T2_3",-34.2932693131232,-29.507184569204,3.68863451511751e-189
"T2_4",-9.90098622700408,-8.79031947957409,2.08535724250155e-22
"T3_3",-21.1180690178134,-19.8079239498936,1.60581578602352e-86
"T3_4",-44.9542453744618,-41.6313561612228,7.11171469096874e-277
"SMA2",-46.6556089705806,-34.6813924261553,9.9603484398346e-291
"SMA3",-17.0203628415642,-15.3999319196445,2.31033799306522e-59
"CINGa2",1.78811315061798,1.22339376181117,0.0739672101294236
"CINGp2",49.090584926917,41.5851769794946,2.04833669063261e-310
"HIPP1",40.016375538455,34.2127301170635,2.1671351823789e-236
"HIPP2",36.0114724516774,31.6685417196082,2.70716801564128e-203
"pHIPP2",30.7704124483153,19.8174339762085,2.12355807825671e-160
"FUS1",23.5839475748916,13.805320110682,2.45498011514805e-104
"AMYG",6.64755166303715,5.27537801702336,4.21098546899466e-11
