"","ROI","sig_roi"
"1","F1_2",TRUE
"2","f1_2",TRUE
"3","F2_1",TRUE
"4","f2_2",FALSE
"5","F3t",TRUE
"6","F2O2",TRUE
"7","F3O1",FALSE
"8","F3O2",FALSE
"9","prec1",TRUE
"10","prec4",TRUE
"11","SMG7",TRUE
"12","AG1",FALSE
"13","AG2",FALSE
"14","P2",TRUE
"15","ips2",FALSE
"16","ips3",TRUE
"17","INSa2",TRUE
"18","INSa3",TRUE
"19","INSa4",TRUE
"20","T1_4",TRUE
"21","STS1",TRUE
"22","STS2",TRUE
"23","STS3",TRUE
"24","STS4",FALSE
"25","T2_3",FALSE
"26","T2_4",FALSE
"27","T3_3",FALSE
"28","T3_4",TRUE
"29","SMA2",TRUE
"30","SMA3",TRUE
"31","CINGa2",FALSE
"32","CINGp2",TRUE
"33","HIPP1",TRUE
"34","HIPP2",TRUE
"35","pHIPP2",TRUE
"36","FUS1",TRUE
"37","AMYG",FALSE
