"ordre_Data","AICHA_number","hROIs_number_forSurfIce","Abbreviation","vol_voxel","mm3","LMNpart","Network","Lobe","Cluster_assignment"
1,3,1,"F1_2",889,7112,"L","DMN","Front",0
2,9,2,"f1_2",1023,8184,"M","FPN","Front",1
3,19,3,"F2_1",1331,10648,"M","FPN","Front",1
4,31,4,"f2_2",1140,9120,"LM","FPN","Front",2
5,33,5,"F3t",797,6376,"L","DMN","Front",2
6,39,6,"F2O2",1165,9320,"M","FPN","Front",0
7,41,7,"F3O1",1368,10944,"L","DMN","Front",0
8,43,8,"F3O2",852,6816,"M","LIMB","Front",2
9,51,9,"prec1",1176,9408,"M","DAN","Front",1
10,57,10,"prec4",778,6224,"LM","DAN","Front",2
11,99,11,"SMG7",1173,9384,"L","DMN","Prtl",1
12,101,12,"AG1",862,6896,"M","DMN","Prtl",2
13,103,13,"AG2",485,3880,"LM","DMN","Prtl",0
14,107,14,"P2",614,4912,"M","FPN","Prtl",1
15,111,15,"ips2",510,4080,"M","FPN","Prtl",2
16,113,16,"ips3",181,1448,"M","DAN","Prtl",2
17,147,17,"INSa2",201,1608,"LM","DMN","Insl",2
18,149,18,"INSa3",726,5808,"LM","SAL","Insl",2
19,151,19,"INSa4",1422,11376,"M","SAL","Insl",0
20,167,20,"T1_4",771,6168,"L","DMN","Temp",0
21,169,21,"STS1",805,6440,"L","DMN","Temp",1
22,171,22,"STS2",631,5048,"L","DMN","Temp",2
23,173,23,"STS3",800,6400,"LM","DMN","Temp",1
24,175,24,"STS4",824,6592,"L","SAL","Temp",1
25,183,25,"T2_3",791,6328,"LM","DMN","Temp",0
26,185,26,"T2_4",161,1288,"L","DAN","Temp",2
27,191,27,"T3_3",1471,11768,"M","FPN","Temp",0
28,193,28,"T3_4",496,3968,"M","DAN","Temp",1
29,223,29,"SMA2",1444,11552,"L","DMN","Front",2
30,225,30,"SMA3",1090,8720,"LM","SAL","Front",2
31,243,31,"CINGa2",472,3776,"M","DMN","Lmb",1
32,253,32,"CINGp2",754,6032,"M","DMN","Lmb",1
33,317,33,"HIPP1",117,936,"M","DMN","Lmb",1
34,319,34,"HIPP2",204,1632,"M","DMN","Lmb",0
35,323,35,"pHIPP2",567,4536,"M","DMN","Lmb",2
36,331,36,"FUS1",523,4184,"M","LIMB","Temp",2
37,345,37,"AMYG",193,1544,"M","DMN","Lmb",1
